"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-04-12,1084,Hovedstaden,26354,1084
2021-04-12,1085,Sjælland,16982,1085
2021-04-13,1081,Nordjylland,953,1081
2021-04-13,1082,Midtjylland,5735,1082
2021-04-13,1083,Syddanmark,2816,1083
2021-04-13,1084,Hovedstaden,6699,1084
2021-04-13,1085,Sjælland,2329,1085
2021-04-14,1081,Nordjylland,1404,1081
2021-04-14,1082,Midtjylland,4102,1082
2021-04-14,1083,Syddanmark,2208,1083
2021-04-14,1084,Hovedstaden,1569,1084
2021-04-14,1085,Sjælland,2160,1085
2021-04-15,1081,Nordjylland,565,1081
2021-04-15,1082,Midtjylland,4834,1082
2021-04-15,1083,Syddanmark,2475,1083
2021-04-15,1084,Hovedstaden,5571,1084
2021-04-15,1085,Sjælland,1869,1085
2021-04-16,1081,Nordjylland,3443,1081
2021-04-16,1082,Midtjylland,2753,1082
2021-04-16,1083,Syddanmark,5440,1083
2021-04-16,1084,Hovedstaden,4167,1084
2021-04-16,1085,Sjælland,1640,1085
2021-04-17,1081,Nordjylland,2848,1081
2021-04-17,1082,Midtjylland,1194,1082
2021-04-17,1083,Syddanmark,4655,1083
2021-04-17,1084,Hovedstaden,7778,1084
2021-04-17,1085,Sjælland,2346,1085
2021-04-18,1081,Nordjylland,1332,1081
2021-04-18,1082,Midtjylland,621,1082
2021-04-18,1083,Syddanmark,4095,1083
2021-04-18,1084,Hovedstaden,7386,1084
2021-04-18,1085,Sjælland,1068,1085
2021-04-19,1081,Nordjylland,2292,1081
2021-04-19,1082,Midtjylland,4887,1082
2021-04-19,1083,Syddanmark,5873,1083
2021-04-19,1084,Hovedstaden,8727,1084
2021-04-19,1085,Sjælland,3050,1085
2021-04-20,1081,Nordjylland,1240,1081
2021-04-20,1082,Midtjylland,7918,1082
2021-04-20,1083,Syddanmark,6053,1083
2021-04-20,1084,Hovedstaden,4598,1084
2021-04-20,1085,Sjælland,2237,1085
2021-04-21,1081,Nordjylland,2966,1081
2021-04-21,1082,Midtjylland,5491,1082
2021-04-21,1083,Syddanmark,5319,1083
2021-04-21,1084,Hovedstaden,5565,1084
2021-04-21,1085,Sjælland,3180,1085
2021-04-22,1081,Nordjylland,2623,1081
2021-04-22,1082,Midtjylland,6991,1082
2021-04-22,1083,Syddanmark,4794,1083
2021-04-22,1084,Hovedstaden,11255,1084
2021-04-22,1085,Sjælland,2573,1085
2021-04-23,1081,Nordjylland,4181,1081
2021-04-23,1082,Midtjylland,4596,1082
2021-04-23,1083,Syddanmark,5663,1083
