"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-04-19,1084,Hovedstaden,2059,1084
2021-04-19,1085,Sjælland,3357,1085
2021-04-20,1081,Nordjylland,869,1081
2021-04-20,1082,Midtjylland,4541,1082
2021-04-20,1083,Syddanmark,1778,1083
2021-04-20,1084,Hovedstaden,5023,1084
2021-04-20,1085,Sjælland,4856,1085
2021-04-21,1081,Nordjylland,50,1081
2021-04-21,1082,Midtjylland,5717,1082
2021-04-21,1083,Syddanmark,1003,1083
2021-04-21,1084,Hovedstaden,3772,1084
2021-04-21,1085,Sjælland,2302,1085
2021-04-22,1081,Nordjylland,54,1081
2021-04-22,1082,Midtjylland,2657,1082
2021-04-22,1083,Syddanmark,1559,1083
2021-04-22,1084,Hovedstaden,132,1084
2021-04-22,1085,Sjælland,1011,1085
2021-04-23,1081,Nordjylland,50,1081
2021-04-23,1082,Midtjylland,1919,1082
2021-04-23,1083,Syddanmark,1945,1083
2021-04-23,1084,Hovedstaden,6974,1084
2021-04-23,1085,Sjælland,377,1085
2021-04-24,1081,Nordjylland,896,1081
2021-04-24,1082,Midtjylland,69,1082
2021-04-24,1083,Syddanmark,1607,1083
2021-04-24,1084,Hovedstaden,1995,1084
2021-04-24,1085,Sjælland,3062,1085
2021-04-25,1081,Nordjylland,496,1081
2021-04-25,1082,Midtjylland,28,1082
2021-04-25,1083,Syddanmark,917,1083
2021-04-25,1084,Hovedstaden,315,1084
2021-04-25,1085,Sjælland,3541,1085
2021-04-26,1081,Nordjylland,1042,1081
2021-04-26,1082,Midtjylland,835,1082
2021-04-26,1083,Syddanmark,1627,1083
2021-04-26,1084,Hovedstaden,3164,1084
2021-04-26,1085,Sjælland,1224,1085
2021-04-27,1081,Nordjylland,2494,1081
2021-04-27,1082,Midtjylland,3776,1082
2021-04-27,1083,Syddanmark,1961,1083
2021-04-27,1084,Hovedstaden,9724,1084
2021-04-27,1085,Sjælland,3003,1085
2021-04-28,1081,Nordjylland,1748,1081
2021-04-28,1082,Midtjylland,5867,1082
2021-04-28,1083,Syddanmark,3791,1083
2021-04-28,1084,Hovedstaden,8208,1084
2021-04-28,1085,Sjælland,1040,1085
2021-04-29,1081,Nordjylland,1170,1081
2021-04-29,1082,Midtjylland,5495,1082
2021-04-29,1083,Syddanmark,2208,1083
2021-04-29,1084,Hovedstaden,7226,1084
2021-04-29,1085,Sjælland,1879,1085
2021-04-30,1081,Nordjylland,805,1081
2021-04-30,1082,Midtjylland,653,1082
2021-04-30,1083,Syddanmark,1869,1083
2021-04-30,1084,Hovedstaden,208,1084
2021-04-30,1085,Sjælland,415,1085
2021-05-01,1081,Nordjylland,770,1081
2021-05-01,1082,Midtjylland,72,1082
2021-05-01,1083,Syddanmark,2191,1083
2021-05-01,1084,Hovedstaden,465,1084
2021-05-01,1085,Sjælland,2637,1085
2021-05-02,1081,Nordjylland,1183,1081
2021-05-02,1082,Midtjylland,32,1082
2021-05-02,1083,Syddanmark,1974,1083
2021-05-02,1084,Hovedstaden,8607,1084
2021-05-02,1085,Sjælland,2014,1085
2021-05-03,1081,Nordjylland,9891,1081
2021-05-03,1082,Midtjylland,8858,1082
2021-05-03,1083,Syddanmark,4084,1083
2021-05-03,1084,Hovedstaden,7974,1084
